f,files
.vtk,1175
.odc,1175
.jsonnet,1170
.lfm,1166
.pptx,1163
.dic,1162
.pcap,1161
.asc,1160
.cmmn,1155
.move,1153
.tiff,1150
.track1,1140
.track2,1140
.sav,1138
.dbf,1135
.include,1132
.i18n,1130
.gsp,1128
.output,1124
.pxd,1123
.coveragerc,1118
.bed,1116
.quickinfo,1114
.5,1112
.utf8,1110
.dbs,1109
.variables,1109
.object,1108
.orig,1107
.nq,1105
.sld,1104
.vi,1099
.upstart,1092
.prettierignore,1092
.smt2,1091
.dmm,1090
.dyn,1082
.tst,1081
.g4,1078
.x,1077
.cf,1077
.opf,1074
.lm,1067
.adl,1066
.hlsl,1066
.jelly,1063
.stan,1058
.cdl,1056
.gravity,1055
.v2,1045
.dig,1043
.gml,1042
.thrift,1042
.idx,1040
.bats,1038
.bak,1037
.neu,1036
.der,1030
.rnc,1029
.src,1027
.yul,1020
.dof,1018
.tokens,1011
.prettierrc,1006
.pub,1000
.myapp,1000
.fastq,996
.vk,994
.liquid,992
.tesc,991
.raw,990
.layout,990
.tab,986
.webm,985
.flowconfig,983
.shx,981
.uni,980
.trig,978
.factories,977
.sty,976
.dia,973
.snk,971
.jnlp,969
.npmrc,969
.cgi,967
.anm2,966
.targets,966
.rtf,963
.wrap,962
.msh,958
.app,952
.mas,944
.gpx,942
.dsp,940
.save,939
.ndf,929
.underscore,928
.gct,927
.unity,927
.spthy,926
.items,925
.tla,923
.snippets,922
.cfm,922
.mock-http-headers,920
.reference_output,920
.ru,920
.misc,914
.ruleset,912
.header,910
.dd,908
.cuh,904
.sil,902
.anim,901
.cljc,897
.awk,896
.github/codeowners,895
.hdf5,892
.aidl,889
.sarl,885
.lfsbuild,885
.0/license,884
.hl7,883
.sub,879
.c++,877
.fig,876
.tree,876
.re,874
.fzn,874
.handlebars,874
.dex,873
.script,872
.stub,866
.xpl,865
.7,865
.cache-3,864
.gypi,863
.wyv,862
.pkg,862
.ys,855
.s3o,848
.vtt,848
.jinja,846
.user,843
.abap,840
.pkl,834
.txz,833
.ctags,832
.queryplan,830
.scad,827
.yardopts,822
.shader,822
.cproject,821
.mtx,819
.sct,817
.thtml,816
.pde,815
.wxs,812
.entitlements,811
.ned,810
.mappings,810
.tar,806
.dylib,802
.dothtml,801
.gem,801
.rdata,800
.glade,800
.dcm,799
.flf,798
.shape,795
.marker,792
.rhel6,788
.canonical,788
.nib,787
.gds,787
.com,784
.typed,784
.resttest,781
.stdin,780
.defs,775
.spice,771
.hrl,771
.gbin,768
.robot,764
.old,761
.new,759
.spv,759
.6,751
.shex,745
.dirs,743
.xodp,742
.gbs,741
.geom,738
.val,738
.wast,735
.policy,732
.bai,731
.helmignore,729
.wren,728
.tq,727
.default,727
.resources,725
.mesh,724
.pbm,721
.graphml,718
.g,716
.dsc,715
.y,709
.ctr,708
.h5,708
.geo,707
.rpl,694
.peb,692
.license,690
.pd,689
.opts,685
.make,684
.shacl,683
.builder,681
.flml,680
.sco,677
.image,677
.cht,674
.get,673
.cql,673
.dep,670
.original,667
.bch,665
.nvmrc,659
.gin,657
.secrets-ignore,657
.reg,657
.gro,655
.pack-ignore,649
.gw,648
.appleseed,647
.bescmd,647
.wcss,647
.lds,646
.task,645
.xtuml,644
.ditamap,640
.rbi,639
.cake,636
.mcr,632
.cooked_physics,632
.tese,631
.mailmap,629
.fract,629
.graph,628
.dora,626
.flags,625
.eex,620
.libsonnet,620
.schema,619
.ceylon,619
.nou,618
.fzz,618
.gd,617
.guess,613
.1-sdk/build/dockerfile,612
.1-runtime/run/dockerfile,612
.1-sdk/run/dockerfile,612
.1-runtime/build/dockerfile,612
.aspx,611
.psm1,611
.fix,610
.link,607
.thingml,606
.frm,605
.hoon,603
.nim,601
.yar,601
.wdl,600
.iss,599
.empty,599
.fx,596
.bes,592
.catalog_metadata,591
.grd,590
.slang,589
.pt,588
.replay,585
.api,584
.node,583
.aff,582
.sd,581
.proftext,581
.toc,581
.n3,580
.mps,580
.genconf,576
.ascx,575
.snippet,570
.buckconfig,569
.osl,568
.gpg,566
.jrtc,565
.ly,564
.stats,562
.run,560
.nii,559
.postrm,558
.spr,555
.graffle,553
.xliff,549
.ruby-version,545
.fsm,544
.aar,543
.fnt,542
.sha256,542
.nsi,542
.gv,541
.files,540
.blend,540
.datasource,538
.segmentation,536
.star,536
.tests,535
.har,533
.afm,532
.sprite,532
.pgm,530
.dotsettings,530
.p12,529
.sqlite,529
.tml,529
.msm,528
.sigs,526
.browserslistrc,525
.sig,525
.pcx,524
.postinst,522
.dmp,520
.ep,519
.ur,518
.pl1,518
.2da,518
.pm6,513
.1-aspnet/build/dockerfile,513
.1-aspnet/run/dockerfile,513
.webmanifest,512
.rkt,512
.http,511
.cjs,510
.lockfile,510
.dzn,510
.ract,509
.kmt,508
.psf,508
.nsh,505
.name,502
.es6,502
.10,501
